NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
40005,4005,City of Asheville,Active,Full Reporter: Operating,03358,"Asheville, NC",DR,DO,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"26,423 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40005,4005,City of Asheville,Active,Full Reporter: Operating,03358,"Asheville, NC",DR,PT,Bus,"21,417 ","21,515 ","23,137 ","24,407 ","24,682 ","24,006 ","26,997 ",0 ,"24,590 ","25,900 ","25,284 ","13,308 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40005,4005,City of Asheville,Active,Full Reporter: Operating,03358,"Asheville, NC",MB,DO,Bus,"1,011,489 ","1,029,523 ","1,062,093 ","1,104,657 ","1,362,458 ","1,418,678 ","1,611,653 ","1,596,360 ","1,485,876 ","1,478,041 ","1,467,421 ","1,429,951 ","1,443,115 ","1,804,188 ","2,147,568 ","2,043,733 ","943,692 ",0 ,0 ,0 ,0 ,0 
40005,4005,City of Asheville,Active,Full Reporter: Operating,03358,"Asheville, NC",MB,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"1,007,124 ","1,796,713 ","1,338,505 ","1,500,630 ","1,327,095 ","972,746 "
40006,4006,Cape Fear Public Transportation Authority,Active,Full Reporter: Operating,95833,"Wilmington, NC",DR,DO,Bus,"2,266 ","1,971 ","1,515 ",623 ,"2,158 ","4,087 ","4,341 ","6,019 ","74,815 ","79,575 ","70,996 ","57,858 ","55,139 ","60,952 ","58,819 ","58,685 ","59,760 ","62,399 ","32,946 ","43,414 ","49,995 ","36,872 "
40006,4006,Cape Fear Public Transportation Authority,Active,Full Reporter: Operating,95833,"Wilmington, NC",MB,DO,Bus,"554,912 ","568,777 ","892,101 ","367,577 ","1,454,794 ","1,540,508 ","1,439,740 ","1,319,176 ","1,422,429 ","757,492 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40006,4006,Cape Fear Public Transportation Authority,Active,Full Reporter: Operating,95833,"Wilmington, NC",MB,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"785,252 ","1,559,969 ","1,476,364 ","1,473,453 ","1,430,248 ","1,353,714 ","1,340,843 ","1,197,706 ","1,319,364 ","712,264 ","597,127 ","670,480 ","425,410 "
40006,4006,Cape Fear Public Transportation Authority,Active,Full Reporter: Operating,95833,"Wilmington, NC",TB,DO,Bus,0 ,0 ,0 ,"16,269 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40006,4006,Cape Fear Public Transportation Authority,Active,Full Reporter: Operating,95833,"Wilmington, NC",VP,DO,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"4,676 ","6,226 ","6,266 ","4,672 ","4,635 ","5,046 ","3,426 ",879 ,"1,081 ",0 ,0 
40007,4007,City of Raleigh,Active,Full Reporter: Operating,73261,"Raleigh, NC",DR,DO,Bus,"131,527 ","136,785 ","140,681 ","148,810 ","84,069 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40007,4007,City of Raleigh,Active,Full Reporter: Operating,73261,"Raleigh, NC",DR,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,"174,364 ","479,943 ","433,609 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40007,4007,City of Raleigh,Active,Full Reporter: Operating,73261,"Raleigh, NC",DR,TX,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"485,500 ","433,773 ","417,813 ","356,948 ","385,373 ","460,408 ","490,184 ","484,248 ","527,487 ","371,086 ","531,102 ","693,253 ","505,116 "
40007,4007,City of Raleigh,Active,Full Reporter: Operating,73261,"Raleigh, NC",MB,DO,Bus,"3,025,312 ","3,259,387 ","3,487,795 ","3,691,759 ","3,972,223 ","4,215,686 ","4,839,141 ","5,097,943 ","5,443,619 ","6,070,108 ","6,495,133 ","6,330,414 ","6,031,860 ","5,414,351 ","5,084,984 ","4,763,309 ","5,094,909 ","2,619,144 ",0 ,0 ,0 ,0 
40007,4007,City of Raleigh,Active,Full Reporter: Operating,73261,"Raleigh, NC",MB,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,856,541 ","3,642,378 ","3,626,969 ","4,334,613 ","3,024,934 "
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",CB,DO,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"531,612 ","1,054,316 ","971,473 ","910,989 ","961,826 ","419,153 ",0 ,0 ,0 ,0 ,0 
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",CB,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"334,003 ","723,789 ","190,796 ","80,452 ","247,741 ","175,001 "
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",DR,DO,Bus,"262,324 ","241,424 ","252,304 ","293,075 ","297,060 ","300,755 ","245,354 ","236,721 ","229,983 ","228,696 ","228,318 ","235,738 ","235,049 ","276,146 ","290,001 ","258,696 ","259,817 ","252,708 ","148,403 ","158,441 ","168,940 ","127,805 "
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",DR,PT,Bus,"66,576 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",LR,DO,Rail,0 ,0 ,0 ,0 ,"25,916 ","517,281 ","4,982,386 ","4,741,805 ","4,799,475 ","4,796,202 ","4,967,336 ","4,977,968 ","5,130,489 ","4,881,650 ","4,852,048 ","4,816,511 ","7,123,616 ","8,875,581 ","3,921,893 ","3,035,535 ","4,623,360 ","3,619,941 "
