"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Nome Census Area,"52,541","54,275","58,882",24,3.3,8.5,9,AK
North Slope Borough,"80,223","75,612","73,320",7,-5.7,-3.0,30,AK
Northwest Arctic Borough,"48,691","50,076","52,915",28,2.8,5.7,17,AK
Petersburg Borough,"67,946","70,171","78,295",4,3.3,11.6,4,AK
Prince of Wales-Hyder Census Area,"49,876","51,123","53,266",27,2.5,4.2,24,AK
Sitka City and Borough,"70,715","69,752","75,917",6,-1.4,8.8,8,AK
Skagway Municipality,"77,402","59,045","71,409",10,-23.7,20.9,1,AK
Southeast Fairbanks Census Area,"51,956","54,513","58,988",23,4.9,8.2,11,AK
Valdez-Cordova Census Area2,"59,676",(NA),(NA),--,(NA),(NA),--,AK
Wrangell City and Borough,"55,603","56,609","61,327",19,1.8,8.3,10,AK
Yakutat City and Borough,"62,179","61,346","66,375",14,-1.3,8.2,13,AK
Yukon-Koyukuk Census Area,"56,750","58,903","63,452",17,3.8,7.7,14,AK
,,,,,,,,
Arizona,"48,124","52,327","55,487",--,8.7,6.0,--,AZ
Apache,"36,803","42,196","45,671",10,14.7,8.2,2,AZ
Cochise,"41,557","46,909","49,096",5,12.9,4.7,13,AZ
Coconino,"49,454","54,008","56,914",2,9.2,5.4,12,AZ
Gila,"41,033","45,429","48,752",7,10.7,7.3,6,AZ
Graham,"32,018","35,987","38,785",15,12.4,7.8,5,AZ
Greenlee,"40,517","43,150","48,079",8,6.5,11.4,1,AZ
La Paz,"43,174","46,286","49,933",4,7.2,7.9,4,AZ
Maricopa,"52,032","56,255","59,759",1,8.1,6.2,10,AZ
Mohave,"35,647","38,717","41,331",14,8.6,6.8,9,AZ
Navajo,"33,756","38,524","41,680",13,14.1,8.2,3,AZ
Pima,"45,996","50,131","52,942",3,9.0,5.6,11,AZ
Pinal,"37,402","40,979","43,793",12,9.6,6.9,8,AZ
Santa Cruz,"38,555","43,734","46,828",9,13.4,7.1,7,AZ
Yavapai,"43,306","47,203","49,060",6,9.0,3.9,14,AZ
Yuma,"37,624","42,732","44,299",11,13.6,3.7,15,AZ
,,,,,,,,
Arkansas,"44,324","47,154","50,625",--,6.4,7.4,--,AR
Arkansas,"46,906","52,609","56,733",3,12.2,7.8,41,AR
Ashley,"38,172","40,395","42,844",32,5.8,6.1,59,AR
Baxter,"38,535","40,968","43,479",29,6.3,6.1,58,AR
Benton,"86,848","86,938","91,687",1,0.1,5.5,67,AR
Boone,"36,495","38,988","42,642",36,6.8,9.4,24,AR
Bradley,"39,690","42,740","46,734",14,7.7,9.3,25,AR
Calhoun,"38,581","42,102","45,401",23,9.1,7.8,42,AR
Carroll,"32,829","34,896","40,689",54,6.3,16.6,7,AR
Chicot,"38,030","44,738","47,402",11,17.6,6.0,62,AR
Clark,"38,155","41,306","42,664",35,8.3,3.3,73,AR
Clay,"34,905","39,772","42,999",30,13.9,8.1,39,AR
Cleburne,"39,597","42,579","45,289",25,7.5,6.4,56,AR
Cleveland,"41,536","42,714","49,569",5,2.8,16.0,8,AR
Columbia,"38,169","40,526","42,785",33,6.2,5.6,66,AR
Conway,"38,985","41,696","46,412",16,7.0,11.3,17,AR
Craighead,"38,810","42,024","45,160",26,8.3,7.5,46,AR
Crawford,"35,445","37,829","40,691",53,6.7,7.6,45,AR
Crittenden,"37,978","41,598","45,416",22,9.5,9.2,29,AR
